央视,#genre#
动漫秀场,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226138/1.m3u8
生活时尚,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225768/1.m3u8
哈哈炫动,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226161/1.m3u8
哈哈炫动,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226175/1.m3u8
CETV-1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225775/1.m3u8
CETV-4,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226153/1.m3u8
卡酷少儿,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226019/1.m3u8
金鹰卡通,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226094/1.m3u8
五星体育,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225732/1.m3u8
第一财经,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225737/1.m3u8
东方影视,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225744/1.m3u8
上海都市,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225749/1.m3u8
city都市剧场,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225762/1.m3u8
city都市剧场,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226155/1.m3u8
欢笑剧场4K,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225771/1.m3u8
法制天地,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225994/1.m3u8
乐游,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226115/1.m3u8
乐游,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226157/1.m3u8
游戏风云,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226117/1.m3u8
游戏风云,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226140/1.m3u8
东方财经,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226134/1.m3u8
新闻综合,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226136/1.m3u8
东方购物-1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226141/1.m3u8
东方购物-2,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226142/1.m3u8
东方购物-3,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226144/1.m3u8

BesTV,#genre#

BesTV-1,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225663/1.m3u8
BesTV-2,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225664/1.m3u8
BesTV-3,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225665/1.m3u8
BesTV-4,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225666/1.m3u8
BesTV-5,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225667/1.m3u8
BesTV-6,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225669/1.m3u8
BesTV-7,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225670/1.m3u8
BesTV-8,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225671/1.m3u8
BesTV-9,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226102/1.m3u8
BesTV-10,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226123/1.m3u8
