
gitv,#genre#
CCTV7,http://223.110.241.139:6610/gitv/live1/G_CCTV-7-HD-265-8M/G_CCTV-7-HD-265-8M/
CCTV8,http://223.110.241.139:6610/gitv/live1/G_CCTV-8-HD-265-8M/G_CCTV-8-HD-265-8M/
CCTV9,http://223.110.241.139:6610/gitv/live1/G_CCTV-9-HD-265-8M/G_CCTV-9-HD-265-8M/
CCTV10,http://223.110.241.139:6610/gitv/live1/G_CCTV-10-HD-265-8M/G_CCTV-10-HD-265-8M/
CCTV12,http://223.110.241.139:6610/gitv/live1/G_CCTV-12-HD-265-8M/G_CCTV-12-HD-265-8M/
CCTV13,http://223.110.241.139:6610/gitv/live1/G_CCTV-13-HD-265-8M/G_CCTV-13-HD-265-8M/
CCTV高尔夫网球,http://223.110.241.139:6610/gitv/live1/G_CCTV-GOLF-CQ/G_CCTV-GOLF-HD-265-8M/
江苏卫视,http://223.110.241.139:6610/gitv/live1/G_JIANGSU-HD-265-8M/G_JIANGSU-HD-265-8M/
北京卫视,http://223.110.241.139:6610/gitv/live1/G_BEIJING-HD-265-8M/G_BEIJING-HD-265-8M/
湖南卫视,http://223.110.241.139:6610/gitv/live1/G_HUNAN-HD-265-8M/G_HUNAN-HD-265-8M/
东方卫视,http://223.110.241.139:6610/gitv/live1/G_DONGFANG-HD-265-8M/G_DONGFANG-HD-265-8M/
浙江卫视,http://223.110.241.139:6610/gitv/live1/G_ZHEJIANG-HD-265-8M/G_ZHEJIANG-HD-265-8M/
广东卫视,http://223.110.241.139:6610/gitv/live1/G_GUANGDONG-HD-265-8M/G_GUANGDONG-HD-265-8M/
天津卫视,http://223.110.241.139:6610/gitv/live1/G_TIANJIN-HD-265-8M/G_TIANJIN-HD-265-8M/
深圳卫视,http://223.110.241.139:6610/gitv/live1/G_SHENZHEN-HD-265-8M/G_SHENZHEN-HD-265-8M/
山东卫视,http://223.110.241.139:6610/gitv/live1/G_SHANDONG-HD-265-8M/G_SHANDONG-HD-265-8M/
安徽卫视,http://223.110.241.139:6610/gitv/live1/G_ANHUI-HD-265-8M/G_ANHUI-HD-265-8M/
辽宁卫视,http://223.110.241.139:6610/gitv/live1/G_LIAONING-HD-265-8M/G_LIAONING-HD-265-8M/
湖北卫视,http://223.110.241.139:6610/gitv/live1/G_HUBEI-HD-265-8M/G_HUBEI-HD-265-8M/
黑龙江卫视,http://223.110.241.139:6610/gitv/live1/G_HEILONGJIANG-HD-265-8M/G_HEILONGJIANG-HD-265-8M/

CCTV1,http://223.110.241.139:6610/gitv/live1/G_CCTV-1-CQ/G_CCTV-1-CQ/
CCTV2,http://223.110.241.139:6610/gitv/live1/G_CCTV-2-CQ/G_CCTV-2-CQ/
CCTV3,http://223.110.241.139:6610/gitv/live1/G_CCTV-3-CQ/G_CCTV-3-CQ/
CCTV4,http://223.110.241.139:6610/gitv/live1/G_CCTV-4-CQ/G_CCTV-4-CQ/
