央视,#genre#
CCTV13,http://183.207.248.71/cntv/live1/CCTV-13/cctv-13
CCTV14,http://183.207.248.71/cntv/live1/CCTV-14/cctv-14
第一剧场,http://223.110.255.139:6610/gitv/live1/G_DIYIJC-CQ/G_DIYIJC-CQ/1.m3u8
CETV-1,http://223.110.241.204:6610/gitv/live1/G_CETV-1/G_CETV-1/
CETV-1,http://223.110.241.139:6610/gitv/live1/G_CETV-1/G_CETV-1/

卫视,#genre#

江苏卫视,http://223.110.241.139:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ/
江苏卫视,http://223.110.241.204:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ/
江苏卫视,http://223.110.241.204:6610/gitv/live1/G_JIANGSU-HQ/G_JIANGSU-HQ/
江苏卫视,http://223.110.255.157:6610/jsyd/live1/G_JIANGSU-MD/G_JIANGSU-MD/1.m3u8
湖南卫视,http://223.110.241.139:6610/gitv/live1/G_HUNAN-CQ/G_HUNAN-CQ/
湖南卫视,http://223.110.241.204:6610/gitv/live1/G_HUNAN-CQ/G_HUNAN-CQ/
湖南卫视,http://223.110.241.204:6610/gitv/live1/G_HUNAN-HQ/G_HUNAN-HQ/
湖南卫视,http://223.110.255.203:6610/jsyd/live1/G_HUNAN-MD/G_HUNAN-MD/1.m3u8
浙江卫视,http://223.110.241.139:6610/gitv/live1/G_ZHEJIANG-CQ/G_ZHEJIANG-CQ/
浙江卫视,http://223.110.241.204:6610/gitv/live1/G_ZHEJIANG-CQ/G_ZHEJIANG-CQ/
浙江卫视,http://223.110.241.204:6610/gitv/live1/G_ZHEJIANG-HQ/G_ZHEJIANG-HQ/
浙江卫视,http://223.110.255.143:6610/jsyd/live1/G_ZHEJIANG-MD/G_ZHEJIANG-MD/1.m3u8
安徽卫视,http://183.207.248.71/cntv/live1/安徽卫视/anhuistv
安徽卫视,http://223.110.241.204:6610/gitv/live1/G_ANHUI-CQ/G_ANHUI-CQ/
安徽卫视,http://223.110.255.155:6610/jsyd/live1/G_ANHUI-MD/G_ANHUI-MD/1.m3u8
北京卫视,http://223.110.241.139:6610/gitv/live1/G_BEIJING-CQ/G_BEIJING-CQ/
北京卫视,http://223.110.241.204:6610/gitv/live1/G_BEIJING-CQ/G_BEIJING-CQ/
北京卫视,http://223.110.241.204:6610/gitv/live1/G_BEIJING-HQ/G_BEIJING-HQ/
北京卫视,http://223.110.255.208:6610/jsyd/live1/G_BEIJING-MD/G_BEIJING-MD/1.m3u8
兵团卫视,http://223.110.241.139:6610/gitv/live1/G_BINGTUAN/G_BINGTUAN/
东方卫视,http://223.110.241.139:6610/gitv/live1/G_DONGFANG-CQ/G_DONGFANG-CQ/
东方卫视,http://223.110.241.204:6610/gitv/live1/G_DONGFANG-CQ/G_DONGFANG-CQ/
东方卫视,http://223.110.241.204:6610/gitv/live1/G_DONGFANG-HQ/G_DONGFANG-HQ/
东方卫视,http://223.110.255.199:6610/jsyd/live1/G_DONGFANG-MD/G_DONGFANG-MD/1.m3u8
东南卫视,http://223.110.255.131:6610/cntv/live1/H265-5500k-1080P-dongnanstv/H265-5500k-1080P-dongnanstv/1.m3u8
甘肃卫视,http://223.110.255.143:6610/cntv/live1/n-gansustv/n-gansustv/1.m3u8
广东卫视,http://223.110.241.204:6610/gitv/live1/G_GUANGDONG-CQ/G_GUANGDONG-CQ/
广东卫视,http://223.110.241.204:6610/gitv/live1/G_GUANGDONG-HQ/G_GUANGDONG-HQ/
广东卫视,http://223.110.255.204:6610/jsyd/live1/G_GUANGDONG-MD/G_GUANGDONG-MD/1.m3u8
广西卫视,http://223.110.241.139:6610/gitv/live1/GXWS/GXWS/
广西卫视,http://223.110.241.204:6610/gitv/live1/GXWS/GXWS/
贵州卫视,http://223.110.255.207:6610/gitv/live1/G_GUIZHOU-CQ/G_GUIZHOU-CQ/1.m3u8
海南卫视,http://223.110.255.206:6610/cntv/live1/SD-4000k-576P-lvyoustv/SD-4000k-576P-lvyoustv/1.m3u8
河北卫视,http://223.110.255.194:6610/gitv/live1/G_HEBEI-CQ/G_HEBEI-CQ/1.m3u8
河南卫视,http://223.110.255.204:6610/gitv/live1/G_HENAN-CQ/G_HENAN-CQ/1.m3u8
黑龙江卫视,http://183.207.248.71/cntv/live1/黑龙江卫视/HD-2500k-1080P-heilongjiangstv
黑龙江卫视,http://223.110.241.204:6610/gitv/live1/G_HEILONGJIANG-CQ/G_HEILONGJIANG-CQ/
黑龙江卫视,http://223.110.241.204:6610/gitv/live1/G_HEILONGJIANG-HQ/G_HEILONGJIANG-HQ/
黑龙江卫视,http://223.110.255.152:6610/jsyd/live1/G_HEILONGJIANG-MD/G_HEILONGJIANG-MD/1.m3u8
湖北卫视,http://223.110.241.204:6610/gitv/live1/G_HUBEI-CQ/G_HUBEI-CQ/
湖北卫视,http://223.110.241.204:6610/gitv/live1/G_HUBEI-HQ/G_HUBEI-HQ/
湖北卫视,http://223.110.255.160:6610/jsyd/live1/G_HUBEI-MD/G_HUBEI-MD/1.m3u8
吉林卫视,http://223.110.255.202:6610/gitv/live1/G_JILIN-CQ/G_JILIN-CQ/1.m3u8
江西卫视,http://183.207.248.71/cntv/live1/江西卫视/jiangxistv
江西卫视,http://223.110.255.208:6610/cntv/live1/H265-5500k-1080P-jiangxistv/H265-5500k-1080P-jiangxistv/1.m3u8
辽宁卫视,http://223.110.241.204:6610/gitv/live1/G_LIAONING-CQ/G_LIAONING-CQ/
辽宁卫视,http://223.110.241.204:6610/gitv/live1/G_LIAONING-HQ/G_LIAONING-HQ/
辽宁卫视,http://223.110.255.206:6610/jsyd/live1/G_LIAONING-MD/G_LIAONING-MD/1.m3u8
内蒙古卫视,http://223.110.241.139:6610/gitv/live1/G_NEIMENGGU/G_NEIMENGGU/
内蒙古卫视,http://223.110.241.204:6610/gitv/live1/G_NEIMENGGU/G_NEIMENGGU/
宁夏卫视,http://223.110.241.139:6610/gitv/live1/G_NINGXIA/G_NINGXIA/
宁夏卫视,http://223.110.241.204:6610/gitv/live1/G_NINGXIA/G_NINGXIA/
青海卫视,http://223.110.241.139:6610/gitv/live1/G_QINGHAI/G_QINGHAI/
青海卫视,http://223.110.241.204:6610/gitv/live1/G_QINGHAI/G_QINGHAI/
厦门卫视,http://223.110.241.139:6610/gitv/live1/G_XIAMEN/G_XIAMEN/
厦门卫视,http://223.110.241.204:6610/gitv/live1/G_XIAMEN/G_XIAMEN/
山东卫视,http://223.110.241.139:6610/gitv/live1/G_SHANDONG-HQ/G_SHANDONG-HQ/
山东卫视,http://223.110.241.204:6610/gitv/live1/G_SHANDONG-CQ/G_SHANDONG-CQ/
山东卫视,http://223.110.241.204:6610/gitv/live1/G_SHANDONG-HQ/G_SHANDONG-HQ/
山东卫视,http://223.110.255.131:6610/jsyd/live1/G_SHANDONG-MD/G_SHANDONG-MD/1.m3u8
山西卫视,http://223.110.241.204:6610/gitv/live1/SXWS/SXWS/
陕西卫视,http://223.110.241.139:6610/gitv/live1/G_SHANXI/G_SHANXI/
陕西卫视,http://223.110.241.204:6610/gitv/live1/G_SHANXI/G_SHANXI/
深圳卫视,http://223.110.241.204:6610/gitv/live1/G_SHENZHEN-CQ/G_SHENZHEN-CQ/
深圳卫视,http://223.110.241.204:6610/gitv/live1/G_SHENZHEN-HQ/G_SHENZHEN-HQ/
深圳卫视,http://223.110.255.156:6610/jsyd/live1/G_SHENZHEN-MD/G_SHENZHEN-MD/1.m3u8
四川卫视,http://223.110.255.208:6610/gitv/live1/G_SICHUAN-CQ/G_SICHUAN-CQ/1.m3u8
天津卫视,http://223.110.241.204:6610/gitv/live1/G_TIANJIN-CQ/G_TIANJIN-CQ/
天津卫视,http://223.110.241.204:6610/gitv/live1/G_TIANJIN-HQ/G_TIANJIN-HQ/
天津卫视,http://223.110.255.146:6610/jsyd/live1/G_TIANJIN-MD/G_TIANJIN-MD/1.m3u8
西藏卫视,http://223.110.241.139:6610/gitv/live1/G_XIZANG/G_XIZANG/
新疆卫视,http://223.110.241.139:6610/gitv/live1/G_XINJIANG/G_XINJIANG/
新疆卫视,http://223.110.241.204:6610/gitv/live1/G_XINJIANG/G_XINJIANG/
云南卫视,http://223.110.255.199:6610/cntv/live1/n-yntv1/n-yntv1/1.m3u8
重庆卫视,http://223.110.255.204:6610/cntv/live1/H265-5500k-1080P-chongqingstv/H265-5500k-1080P-chongqingstv/1.m3u8

其他,#genre#

NewTV炫舞未来,http://183.207.248.71/cntv/live1/炫舞未来/HD-4000k-1080P-xwwl

哒啵赛事,http://183.207.248.71/cntv/live1/NewTV电竞/wmyx
黑莓电影,http://183.207.248.71/cntv/live1/精品电影/jdianying
黑莓动画,http://183.207.248.71/cntv/live1/动画王国/donghuawg

江苏城市,http://223.110.241.139:6610/gitv/live1/G_JSCS/G_JSCS/
江苏公共,http://223.110.241.139:6610/gitv/live1/G_JSGG/G_JSGG/
江苏休闲体育,http://223.110.241.139:6610/gitv/live1/G_JSTY/G_JSTY/
江苏综艺,http://223.110.241.139:6610/gitv/live1/G_JSZY/G_JSZY/
南京新闻综合,http://223.110.241.139:6610/gitv/live1/G_NJXW/G_NJXW/
南京科教,http://223.110.241.139:6610/gitv/live1/G_NJJK/G_NJJK/
南京十八,http://223.110.241.139:6610/gitv/live1/G_NJSB/G_NJSB/

北京纪实,http://183.207.248.71/cntv/live1/北京纪实频道超/HD-8000k-1080P-beijingjishi

购物,#genre#

风尚购物,http://183.207.248.71/cntv/live1/风尚购物/fengshanggw
家有购物,http://183.207.248.71/cntv/live1/家有购物/SD-1500k-576P-jiayougw
